symbol,ts_code,name,area,market,industry_raw,industry_l1,industry_l2,source,updated_at
000001,000001.SZ,平安银行,深圳,主板,银行,银行,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000002,000002.SZ,万科Ａ,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000004,000004.SZ,*ST国华,深圳,主板,软件服务,软件服务,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000006,000006.SZ,深振业Ａ,深圳,主板,区域地产,区域地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000007,000007.SZ,全新好,深圳,主板,其他商业,其他商业,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000008,000008.SZ,神州高铁,北京,主板,运输设备,运输设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000009,000009.SZ,中国宝安,深圳,主板,电气设备,电气设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000010,000010.SZ,*ST美丽,深圳,主板,建筑工程,建筑工程,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000011,000011.SZ,深物业A,深圳,主板,房产服务,房产服务,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000012,000012.SZ,南玻Ａ,深圳,主板,玻璃,玻璃,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000014,000014.SZ,沙河股份,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000016,000016.SZ,*ST康佳A,深圳,主板,家用电器,家用电器,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000017,000017.SZ,深中华A,深圳,主板,服饰,服饰,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000019,000019.SZ,深粮控股,深圳,主板,农业综合,农业综合,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000020,000020.SZ,深华发Ａ,深圳,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000021,000021.SZ,深科技,深圳,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000025,000025.SZ,特力Ａ,深圳,主板,综合类,综合类,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000026,000026.SZ,飞亚达,深圳,主板,服饰,服饰,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000027,000027.SZ,深圳能源,深圳,主板,火力发电,火力发电,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000028,000028.SZ,国药一致,深圳,主板,医药商业,医药商业,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000029,000029.SZ,深深房Ａ,深圳,主板,区域地产,区域地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000030,000030.SZ,富奥股份,吉林,主板,汽车配件,汽车配件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000031,000031.SZ,大悦城,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000032,000032.SZ,深桑达Ａ,深圳,主板,建筑工程,建筑工程,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000034,000034.SZ,神州数码,深圳,主板,软件服务,软件服务,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000035,000035.SZ,中国天楹,江苏,主板,环境保护,环境保护,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000036,000036.SZ,华联控股,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000037,000037.SZ,深南电A,深圳,主板,火力发电,火力发电,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000039,000039.SZ,中集集团,深圳,主板,运输设备,运输设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000042,000042.SZ,中洲控股,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000045,000045.SZ,深纺织Ａ,深圳,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000048,000048.SZ,京基智农,深圳,主板,农业综合,农业综合,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000049,000049.SZ,德赛电池,深圳,主板,电气设备,电气设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000050,000050.SZ,深天马Ａ,深圳,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000055,000055.SZ,方大集团,深圳,主板,其他建材,其他建材,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000056,000056.SZ,*ST皇庭,深圳,主板,其他商业,其他商业,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000058,000058.SZ,深赛格,深圳,主板,商品城,商品城,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000059,000059.SZ,华锦股份,辽宁,主板,石油加工,石油加工,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000060,000060.SZ,中金岭南,深圳,主板,铅锌,铅锌,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000061,000061.SZ,农产品,深圳,主板,农业综合,农业综合,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000062,000062.SZ,深圳华强,深圳,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000063,000063.SZ,中兴通讯,深圳,主板,通信设备,通信设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000065,000065.SZ,北方国际,北京,主板,建筑工程,建筑工程,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000066,000066.SZ,中国长城,深圳,主板,IT设备,IT设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000068,000068.SZ,华控赛格,深圳,主板,环境保护,环境保护,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000069,000069.SZ,华侨城Ａ,深圳,主板,全国地产,全国地产,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000070,000070.SZ,特发信息,深圳,主板,通信设备,通信设备,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000078,000078.SZ,ST海王,深圳,主板,医药商业,医药商业,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000088,000088.SZ,盐田港,深圳,主板,港口,港口,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000089,000089.SZ,深圳机场,深圳,主板,机场,机场,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000090,000090.SZ,天健集团,深圳,主板,建筑工程,建筑工程,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000096,000096.SZ,广聚能源,深圳,主板,石油贸易,石油贸易,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000099,000099.SZ,中信海直,深圳,主板,空运,空运,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000100,000100.SZ,TCL科技,广东,主板,元器件,元器件,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000151,000151.SZ,中成股份,北京,主板,商贸代理,商贸代理,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
000153,000153.SZ,丰原药业,安徽,主板,化学制药,化学制药,,tushare/jiaoch.site/stock_basic,2026-05-18 14:42
